ID	Inst_categorized	location	Cancel_workrelatedtravel	Impact_workpermit	Impact_maintype_categorized	apll_processing_reason	EI_applicant	sufficient insurance	research_amenable_to_remote_work	interview_applicationprocess_disrupted	current_fellowship_contract_impacted	personally_affected	impact_on_research_activity_effectsize	teaching_part_of_work	teaching_affected_effectsize	COVID19_work_logistics_satisfaction_effectsize
180	UofA	AB	yes	no	NA	NA	no	not sure	my research is not amenable to working remotely	no	no	no	4	no	1	4
181	UofA	AB	yes	yes	PR application on hold	medical exam cancelled	no	yes	can work remotely	no	no	no	3	no	1	3
182	UofA	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	no	no	not sure	5	no	1	1
183	UofC	AB	yes	NA	NA	NA	no	not sure	had to adapt to working remotely	not sure	no	no	4	no	1	3
184	UofC	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	no	yes	yes	3	no	1	3
185	UofA	AB	yes	yes	PR application on hold	NA	maybe	yes	my research is not amenable to working remotely	no	yes	no	5	no	1	1
186	federal	AB	yes	yes	contract extension unclear	NA	no	yes	can work remotely	yes	no	no	4	no	4	3
187	UofA	AB	no	no	NA	NA	no	yes	can work remotely	no	no	not sure	1	no	1	3
188	UofA	AB	no	no	NA	NA	no	yes	can work remotely	not sure	not sure	no	3	no	1	4
189	UofA	AB	yes	NA	NA	NA	maybe	no	had to adapt to working remotely	yes	not sure	no	1	no	1	5
190	UofA	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	no	no	no	4	yes	4	3
191	UofA	AB	yes	no	NA	NA	no	yes	my research is not amenable to working remotely	no	no	no	4	no	1	2
192	UofA	AB	yes	no	NA	NA	no	yes	not possible to work remotely	no	no	no	4	no	3	3
193	UofA	AB	yes	yes	WP extension delayed	NA	no	not sure	had to adapt to working remotely	yes	no	yes	3	yes	5	3
194	UBC	BC	yes	yes	WP extension delayed	biometrics acquisition cancelled	no	yes	had to adapt to working remotely	no	no	yes	5	no	1	4
195	UofA	AB	yes	no	NA	NA	no	yes	had to adapt to working remotely	yes	no	no	4	yes	5	2
196	UofA	AB	yes	no	NA	NA	no	yes	had to adapt to working remotely	no	no	no	4	no	1	3
197	UofC	AB	yes	NA	NA	NA	maybe	yes	my research is not amenable to working remotely	not sure	no	not sure	4	no	1	3
198	UofA	AB	no	no	NA	NA	no	not sure	can work remotely	no	no	no	1	no	1	3
199	UofA	AB	yes	NA	NA	NA	no	not sure	had to adapt to working remotely	yes	not sure	yes	4	no	1	2
200	UofA	AB	no	no	NA	NA	no	not sure	my research is not amenable to working remotely	no	no	yes	3	no	3	4
201	UofA	AB	yes	yes	Immigration delayed	NA	no	yes	can work remotely	yes	no	no	3	no	2	4
202	UBC	BC	yes	no	NA	NA	maybe	not sure	can work remotely	not sure	no	not sure	3	yes	5	3
203	UofA	AB	no	no	NA	NA	no	not sure	had to adapt to working remotely	no	no	no	4	no	1	2
204	UofC	AB	yes	NA	NA	NA	no	no	had to adapt to working remotely	yes	yes	yes	3	no	1	3
205	UofA	AB	yes	no	NA	NA	no	yes	my research is not amenable to working remotely	no	no	no	4	no	1	1
206	UofA	AB	no	yes	NA	NA	maybe	not sure	can work remotely	yes	no	no	4	no	1	2
207	UofA	AB	yes	no	NA	NA	no	no	my research is not amenable to working remotely	no	no	yes	5	yes	1	3
208	UofC	AB	yes	no	NA	NA	no	yes	my research is not amenable to working remotely	no	no	no	5	no	1	3
209	UofA	Ab	no	yes	WP application processing delayed	NA	maybe	no	my research is not amenable to working remotely	not sure	not sure	no	1	no	1	1
210	UofA	AB	yes	no	NA	NA	no	not sure	my research is not amenable to working remotely	no	no	yes	4	no	1	3
211	UofA	AB	no	no	NA	NA	no	yes	my research is not amenable to working remotely	no	no	no	2	no	1	3
212	UofC	AB	no	yes	WP extension delayed	criminal record check delayed	no	not sure	can work remotely	yes	not sure	no	4	yes	4	3
213	UofA	AB	yes	no	NA	NA	no	yes	can work remotely	yes	no	no	2	no	1	4
214	UofA	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	no	no	no	3	yes	4	2
215	UofC	AB	yes	no	NA	NA	no	yes	can work remotely	no	no	not sure	3	no	3	4
216	UofA	AB	yes	NA	NA	NA	no	not sure	had to adapt to working remotely	not sure	yes	not sure	4	no	1	3
217	UofC	AB	yes	no	NA	NA	no	yes	can work remotely	no	no	no	2	no	1	4
218	UofA	AB	yes	yes	visa renewal on hold	biometrics acquisition cancelled	no	yes	had to adapt to working remotely	no	no	no	2	no	1	4
219	Dal	NS	yes	no	NA	NA	yes	no	had to adapt to working remotely	yes	yes	no	4	yes	3	3
220	UofC	AB 	yes	no	NA	NA	no	yes	had to adapt to working remotely	yes	not sure	yes	4	yes	2	3
221	UofC	AB	yes	no	NA	NA	maybe	no	my research is not amenable to working remotely	yes	yes	yes	5	no	1	1
222	McMaster	ON	yes	NA	NA	NA	no	yes	had to adapt to working remotely	yes	yes	yes	5	no	1	3
223	UofA	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	no	no	yes	4	no	1	3
224	UofA	AB	yes	NA	NA	NA	no	not sure	my research is not amenable to working remotely	no	yes	yes	4	no	1	3
225	UofC	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	no	no	yes	3	no	1	4
226	UofC	AB	yes	no	NA	NA	maybe	no	had to adapt to working remotely	yes	not sure	yes	3	no	1	2
227	UofC	AB	yes	NA	NA	NA	no	not sure	can work remotely	no	no	yes	3	no	1	4
228	Concordia	QC	yes	no	NA	NA	no	no	had to adapt to working remotely	not sure	yes	yes	5	no	1	1
229	federal	QC	yes	no	NA	NA	maybe	not sure	my research is not amenable to working remotely	not sure	no	yes	4	no	5	2
230	UofC	AB	yes	no	NA	NA	no	yes	can work remotely	yes	no	no	1	no	1	4
231	UofC	AB	yes	no	NA	NA	no	not sure	had to adapt to working remotely	not sure	not sure	yes	4	no	1	3
232	UWQ	ON	yes	yes	PR application on hold	biometrics acquisition cancelled	no	not sure	had to adapt to working remotely	no	no	no	4	no	3	5
233	StMary	NS	yes	no	NA	NA	maybe	no	had to adapt to working remotely	not sure	not sure	yes	4	yes	2	2
234	Carleton	ON	yes	no	NA	NA	maybe	yes	can work remotely	yes	no	yes	4	yes	4	5
235	PolyMTL	QC	yes	no	NA	NA	no	no	had to adapt to working remotely	yes	no	yes	3	yes	1	4
236	UW	ON	yes	no	NA	NA	no	yes	my research is not amenable to working remotely	no	no	yes	5	no	1	4
237	McGill	QC	yes	yes	contract extension unclear	NA	no	no	my research is not amenable to working remotely	yes	no	no	5	no	1	2
238	Nipissing	ON	yes	NA	NA	NA	no	no	can work remotely	yes	not sure	yes	4	no	1	3
239	UofR	SK	no	yes	WP application on hold due to cancellation of appointments	biometrics acquisition cancelled	no	not sure	had to adapt to working remotely	no	no	no	3	no	1	3
240	UHN	ON	yes	no	NA	NA	no	no	my research is not amenable to working remotely	yes	yes	no	4	no	1	5
241	UofS	SK	yes	yes	WP application processing delayed	NA	no	not sure	my research is not amenable to working remotely	yes	yes	no	5	no	1	3
242	Dal	NS	yes	no	job offer extension unclear	NA	no	yes	can work remotely	no	no	yes	2	no	1	5
243	UW	ON	yes	NA	NA	NA	yes	not sure	had to adapt to working remotely	yes	not sure	no	5	no	1	2
244	UofT	ON	yes	NA	NA	NA	no	no	can work remotely	yes	no	no	2	yes	4	3
245	UofR	SK	yes	no	NA	NA	no	yes	had to adapt to working remotely	yes	not sure	yes	3	no	1	3
246	UofR	SK	yes	NA	NA	NA	no	yes	can work remotely	not sure	yes	yes	3	yes	4	4
247	UofT	ON	yes	NA	NA	NA	no	not sure	had to adapt to working remotely	no	no	not sure	2	no	1	5
248	UBC	BC	yes	no	NA	NA	no	no	had to adapt to working remotely	no	no	no	4	no	1	2

